time,px,py,pz,qw,qx,qy,qz,pxHat,pyHat,pzHat,qwHat,qxHat,qyHat,qzHat,
5.78691,7.25117,2.54626,0.149651,0.489784,0.019625,0.00495686,0.871609,7.25117,2.54626,0.149651,0.489784,0.019625,0.00495686,0.871609,
5.81,7.24551,2.55478,0.149377,0.487035,0.0195594,0.00470222,0.873151,7.24551,2.55478,0.149377,0.487035,0.0195594,0.00470222,0.873151,
5.86782,7.23199,2.57594,0.149594,0.479596,0.0195744,0.00438461,0.87726,7.23199,2.57594,0.149594,0.479596,0.0195744,0.00438461,0.87726,
5.88983,7.22672,2.58348,0.149347,0.476503,0.0195207,0.00411208,0.878946,7.22672,2.58348,0.149347,0.476503,0.0195207,0.00411208,0.878946,
5.94975,7.22672,2.58348,0.149347,0.476503,0.0195207,0.00411208,0.878946,7.22672,2.58348,0.149347,0.476503,0.0195207,0.00411208,0.878946,
6.00773,7.19748,2.62597,0.149896,0.45527,0.0194604,0.00311414,0.890135,7.19748,2.62597,0.149896,0.45527,0.0194604,0.00311414,0.890135,
6.02957,7.19135,2.63387,0.149667,0.451247,0.0193862,0.00271372,0.892184,7.19135,2.63387,0.149667,0.451247,0.0193862,0.00271372,0.892184,
6.0876,7.19135,2.63387,0.149667,0.451247,0.0193862,0.00271372,0.892184,7.19135,2.63387,0.149667,0.451247,0.0193862,0.00271372,0.892184,
6.1095,7.17612,2.65405,0.149961,0.440995,0.0193238,0.00218958,0.897299,7.17612,2.65405,0.149961,0.440995,0.0193238,0.00218958,0.897299,
6.16743,7.15402,2.68133,0.150104,0.426666,0.0192899,0.00136825,0.904203,7.15402,2.68133,0.150104,0.426666,0.0192899,0.00136825,0.904203,
6.19054,7.14739,2.68891,0.14994,0.422472,0.0192503,0.00103539,0.906171,7.14739,2.68891,0.14994,0.422472,0.0192503,0.00103539,0.906171,
6.25042,7.13045,2.70861,0.150349,0.412873,0.0192352,0.000616266,0.910585,7.13045,2.70861,0.150349,0.412873,0.0192352,0.000616266,0.910585,
6.30832,7.11346,2.72749,0.150776,0.40514,0.019209,0.000259181,0.914053,7.11346,2.72749,0.150776,0.40514,0.019209,0.000259181,0.914053,
6.33026,7.10647,2.73461,0.150618,0.401533,0.0191804,3.06612e-05,0.915644,7.10696,2.73467,0.151115,0.402008,0.0192098,0.000193402,0.915435,
6.38823,7.08871,2.75332,0.151037,0.392043,0.0191416,-0.000310878,0.919748,7.08953,2.75364,0.152017,0.392611,0.0192108,-3.3552e-06,0.919504,
6.4101,7.08137,2.76039,0.150895,0.388101,0.0191235,-0.000498901,0.921418,7.08284,2.76064,0.15236,0.389052,0.0192106,-7.76445e-05,0.921015,
6.46807,7.06302,2.77861,0.151323,0.378782,0.0190846,-0.000767301,0.925289,7.06496,2.77903,0.15327,0.379714,0.0192089,-0.000271999,0.924904,
6.49101,7.05516,2.78582,0.151203,0.374864,0.0190566,-0.000906917,0.926883,7.05759,2.78632,0.15364,0.376012,0.0192076,-0.000348824,0.926416,
6.55094,7.03594,2.80393,0.151692,0.365964,0.0190201,-0.00114423,0.930434,7.03858,2.8048,0.154591,0.366933,0.0192033,-0.000536669,0.930049,
6.6088,7.0171,2.821,0.152174,0.356702,0.0189614,-0.00141636,0.934025,7.01977,2.82239,0.155522,0.357417,0.0191968,-0.000732718,0.933747,
6.63088,7.00924,2.82752,0.152046,0.352878,0.018898,-0.00158249,0.935477,7.01249,2.82892,0.155878,0.353776,0.0191938,-0.000807525,0.935133,
6.69076,6.98894,2.84492,0.152551,0.343264,0.0188018,-0.00187346,0.939049,6.99251,2.84657,0.156851,0.343923,0.0191843,-0.00100931,0.938801,
6.74873,6.96872,2.86155,0.153035,0.334124,0.018736,-0.00212727,0.94234,6.97261,2.86342,0.157809,0.334572,0.0191733,-0.00119999,0.942174,
6.77162,6.96026,2.86797,0.152929,0.330074,0.0186687,-0.00229401,0.943768,6.96476,2.8698,0.158182,0.330708,0.0191682,-0.00127857,0.943538,
6.83161,6.93898,2.88452,0.153452,0.320162,0.0185928,-0.00258907,0.947177,6.94382,2.88654,0.159176,0.320525,0.0191533,-0.00148497,0.947045,
6.89151,6.91748,2.90054,0.153968,0.310357,0.0184786,-0.0028601,0.950436,6.92262,2.90275,0.16017,0.310433,0.0191364,-0.00168862,0.950401,
6.95146,6.89503,2.9166,0.154486,0.300692,0.0183773,-0.00310713,0.953539,6.90073,2.91877,0.161186,0.300607,0.019118,-0.00188605,0.953555,
7.01134,6.89503,2.9166,0.154486,0.300692,0.0183773,-0.00310713,0.953539,6.87868,2.93421,0.162198,0.290488,0.0190969,-0.00208849,0.956686,
7.06927,6.85086,2.94626,0.155462,0.281843,0.0181658,-0.00352586,0.959282,6.8572,2.94858,0.163175,0.28128,0.019076,-0.00227193,0.959434,
7.09231,6.84149,2.95198,0.155355,0.278198,0.0180706,-0.00360346,0.960347,6.84839,2.95423,0.163571,0.277719,0.0190674,-0.00234267,0.96047,
7.15213,6.84149,2.95198,0.155355,0.278198,0.0180706,-0.00360346,0.960347,6.82568,2.96857,0.164591,0.268568,0.0190443,-0.00252398,0.963069,
7.21206,6.79442,2.98051,0.156362,0.258882,0.0177362,-0.00406104,0.965737,6.80233,2.98269,0.16563,0.258118,0.0190158,-0.00273016,0.965922,
7.27204,6.77054,2.99397,0.15685,0.248104,0.0175697,-0.00430911,0.968564,6.77889,2.99619,0.166662,0.247098,0.0189835,-0.00294661,0.9688,
7.33203,6.74618,3.007,0.157318,0.237185,0.0174035,-0.00455216,0.971298,6.75525,3.00909,0.167693,0.235987,0.0189485,-0.00316382,0.971566,
7.3899,6.72251,3.01899,0.157756,0.227357,0.0172691,-0.00477049,0.973647,6.73198,3.0211,0.168697,0.225862,0.0189145,-0.00336085,0.97397,
7.41275,6.7129,3.02346,0.15761,0.22332,0.0171937,-0.00487169,0.974581,6.72279,3.02561,0.16909,0.221861,0.0189006,-0.00343849,0.974889,
7.4728,6.68809,3.03519,0.15808,0.213695,0.017104,-0.00506391,0.976738,6.6984,3.03732,0.170129,0.211913,0.0188645,-0.00363096,0.9771,
7.5306,6.66404,3.04599,0.158505,0.210402,0.0170354,-0.00515063,0.977453,6.67475,3.04808,0.171127,0.208342,0.0188511,-0.00369985,0.977867,
7.55256,6.6542,3.05015,0.158369,0.209328,0.0169783,-0.00520412,0.977684,6.66575,3.0521,0.171506,0.207422,0.0188476,-0.00371759,0.978063,
7.6125,6.62893,3.06118,0.158838,0.206458,0.016916,-0.00528768,0.978295,6.64195,3.06314,0.172514,0.205385,0.0188399,-0.00375683,0.978493,
7.67049,6.60431,3.07172,0.15927,0.203235,0.0168378,-0.00540929,0.97897,6.61866,3.07349,0.173494,0.20257,0.018829,-0.00381099,0.979079,
7.69333,6.59411,3.07579,0.159138,0.201887,0.0167699,-0.00550267,0.97925,6.60927,3.07769,0.17389,0.20153,0.0188249,-0.00383099,0.979294,
7.75232,6.56929,3.08612,0.159592,0.198241,0.0166967,-0.00564652,0.979995,6.58571,3.08844,0.174885,0.198712,0.0188138,-0.00388514,0.97987,
7.8533,6.52554,3.10417,0.160714,0.19222,0.0165693,-0.00581748,0.981195,6.54374,3.10545,0.176625,0.192212,0.0187877,-0.00400976,0.981165,
7.91312,6.49984,3.11428,0.161139,0.188546,0.0164731,-0.00592807,0.981908,6.51872,3.11547,0.177661,0.188271,0.0187714,-0.00408516,0.981929,
7.97098,6.4745,3.12403,0.161539,0.185678,0.0163814,-0.00600964,0.982456,6.49437,3.12497,0.178666,0.185059,0.018758,-0.00414652,0.98254,
7.99296,6.46417,3.12776,0.161387,0.184676,0.0162819,-0.00605378,0.982646,6.48495,3.12858,0.179053,0.183889,0.018753,-0.00416886,0.982759,
8.05096,6.43952,3.13705,0.1618,0.181994,0.0161672,-0.00612974,0.983148,6.4603,3.13792,0.180065,0.180794,0.0187398,-0.00422789,0.983333,
8.07405,6.4289,3.14081,0.161653,0.180933,0.0160827,-0.00619309,0.983345,6.45045,3.14167,0.18047,0.179572,0.0187345,-0.00425118,0.983557,
8.13181,6.40345,3.15017,0.162037,0.1785,0.0159699,-0.00626715,0.98379,6.42629,3.15073,0.181461,0.176889,0.0187228,-0.00430225,0.984043,
8.15386,6.39299,3.1538,0.161889,0.177358,0.0158821,-0.00630024,0.983998,6.41679,3.15421,0.18185,0.175652,0.0187174,-0.00432578,0.984265,
8.21372,6.36678,3.16328,0.162307,0.173438,0.0157743,-0.00633771,0.984698,6.39137,3.16333,0.182886,0.171439,0.0186988,-0.00440582,0.985007,
8.27161,6.34096,3.17241,0.162695,0.16918,0.015688,-0.00634837,0.98544,6.36743,3.1727,0.183874,0.167587,0.0186814,-0.00447889,0.98567,
8.29358,6.34096,3.17241,0.162695,0.16918,0.015688,-0.00634837,0.98544,6.35821,3.17594,0.184249,0.166029,0.0186743,-0.0045084,0.985934,
8.3516,6.30522,3.18453,0.162916,0.164197,0.0155536,-0.00628871,0.986285,6.33388,3.18439,0.185237,0.162182,0.0186566,-0.00458121,0.986574,
